airport,lon,lat
Abu Dhabi,54.3773438,24.453884
Adelaide,138.6007456,-34.9284989
Alice Springs,133.8807471,-23.698042
Amsterdam,4.8945398,52.3666969
"Athens, Greece",23.7275388,37.9838096
Auckland,174.7633315,-36.8484597
Bangkok,100.5017651,13.7563309
Beijing,116.4073963,39.90419989999999
Brisbane,153.0251235,-27.4697707
Brunei,114.727669,4.535277
Cairns,145.7780548,-16.9185514
Cairo,31.2357116,30.0444196
Cape Town,18.4240553,-33.9248685
Christchurch,172.6362254,-43.5320544
"Darwin, Australia",130.8456418,-12.4634403
Denpasar,115.2126293,-8.670458199999999
Dhaka,90.4125181,23.810332
Dubai,55.2707828,25.2048493
Duesseldorf,6.7734556,51.2277411
Frankfurt,8.6821267,50.1109221
Gold Coast,-115.1928065,36.1165485
Guangzhou,113.264385,23.12911
Hanoi,105.8341598,21.0277644
Harare,31.03351,-17.8251657
Hawke's Bay,176.7416374,-39.1089867
Ho Chi Minh,106.6296638,10.8230989
"Hobart, Australia",147.3271949,-42.8821377
Hong Kong,114.1693611,22.3193039
Johannesburg,28.0473051,-26.2041028
Kathmandu,85.3239605,27.7172453
Kuala Lumpur,101.686855,3.139003
Limbang,115.0081459,4.755032
London,-0.1277583,51.5073509
Los Angeles,-118.2436849,34.0522342
Lukla,86.72780589999999,27.6856603
"Luxor, Egypt",32.6396357,25.6872431
"Manchester, England",-2.2426305,53.4807593
"Melbourne, Australia",144.9630576,-37.8136276
"Miri, Malaysia",113.9913832,4.399493
Moscow,37.6172999,55.755826
New York,-74.0059728,40.7127753
Penang,100.3326786,5.4163935
Perth,115.8604572,-31.9505269
Port Villa,168.3273245,-17.7332512
Reykjavik,-21.9426354,64.146582
San Francisco,-122.4194155,37.7749295
Singapore,103.819836,1.352083
Sofia,23.3218675,42.6977082
Sydney,151.2092955,-33.8688197
"Tokyo, Japan",139.6503106,35.6761919
Yulara,130.9848698,-25.2334936
Victoria Falls,25.8572003,-17.9242993
"Wellington, New Zealand",174.776236,-41.2864603
Windhoek,17.0657549,-22.5608807
Yangon,96.173526,16.840939
Melbourne,144.9630576,-37.8136276
Las Vegas,-115.1398296,36.1699412
Newark,-74.1723667,40.735657
Istanbul,28.9783589,41.0082376
Maastricht,5.6909725,50.8513682
Rome,12.4963655,41.9027835
Chengdu,104.066801,30.572815
Gunung Mulu,114.8958021,4.09207
Chang Mai,98.96200019999999,18.7952876
ZÃ¼rich,8.541694,47.3768866
