From,To
Yulara,Alice Springs
Yangon,Singapore
Windhoek,London
Windhoek,Cape Town
"Wellington, New Zealand","Melbourne, Australia"
Victoria Falls,Harare
"Tokyo, Japan",ZÃ¼rich
Sydney,"Melbourne, Australia"
Sydney,Brisbane
Sofia,Cairo
Sofia,Amsterdam
Singapore,"Melbourne, Australia"
Singapore,Hanoi
Singapore,Dhaka
Singapore,Denpasar
Singapore,Chang Mai
Singapore,Brunei
Singapore,Auckland
Singapore,Amsterdam
San Francisco,Sydney
San Francisco,Las Vegas
San Francisco,Amsterdam
Reykjavik,New York
Reykjavik,Amsterdam
Port Villa,Brisbane
Perth,"Melbourne, Australia"
Penang,Singapore
Newark,Los Angeles
New York,Reykjavik
Moscow,Hong Kong
Moscow,Duesseldorf
"Miri, Malaysia",Gunung Mulu
"Melbourne, Australia","Wellington, New Zealand"
"Melbourne, Australia",Sydney
"Melbourne, Australia",Singapore
"Melbourne, Australia",San Francisco
"Melbourne, Australia",Perth
"Melbourne, Australia",Hong Kong
"Melbourne, Australia","Hobart, Australia"
"Melbourne, Australia",Ho Chi Minh
"Melbourne, Australia",Gold Coast
"Melbourne, Australia",Dubai
"Melbourne, Australia",Denpasar
"Melbourne, Australia","Darwin, Australia"
"Melbourne, Australia",Christchurch
"Melbourne, Australia",Cairns
"Melbourne, Australia",Brisbane
"Melbourne, Australia",Auckland
"Melbourne, Australia","Athens, Greece"
"Melbourne, Australia",Alice Springs
"Melbourne, Australia",Adelaide
"Melbourne, Australia",Abu Dhabi
"Manchester, England",Amsterdam
"Luxor, Egypt",Duesseldorf
Lukla,Kathmandu
Los Angeles,"Melbourne, Australia"
Los Angeles,Amsterdam
London,Windhoek
London,Amsterdam
Limbang,"Miri, Malaysia"
Las Vegas,San Francisco
Kuala Lumpur,"Melbourne, Australia"
Kathmandu,Lukla
Kathmandu,Dhaka
Johannesburg,Windhoek
Johannesburg,"Athens, Greece"
Johannesburg,Amsterdam
Hong Kong,Moscow
Hong Kong,"Melbourne, Australia"
Hong Kong,Amsterdam
"Hobart, Australia","Melbourne, Australia"
Ho Chi Minh,"Melbourne, Australia"
Ho Chi Minh,Hanoi
Hawke's Bay,Auckland
Harare,Johannesburg
Hanoi,Singapore
Hanoi,Ho Chi Minh
Guangzhou,Chengdu
Gold Coast,"Melbourne, Australia"
Frankfurt,Singapore
Frankfurt,San Francisco
Frankfurt,Frankfurt
Frankfurt,Amsterdam
Duesseldorf,Moscow
Duesseldorf,"Luxor, Egypt"
Dubai,Rome
Dubai,Kuala Lumpur
Dubai,Johannesburg
Dubai,Amsterdam
Dhaka,Singapore
Dhaka,Kathmandu
Denpasar,Singapore
Denpasar,"Melbourne, Australia"
"Darwin, Australia","Melbourne, Australia"
Christchurch,"Wellington, New Zealand"
Christchurch,"Melbourne, Australia"
Cape Town,Johannesburg
Cairo,Sofia
Cairns,"Melbourne, Australia"
Brunei,Singapore
Brunei,"Miri, Malaysia"
Brisbane,"Tokyo, Japan"
Brisbane,Port Villa
Brisbane,"Melbourne, Australia"
Beijing,Hong Kong
Bangkok,Yangon
Auckland,Singapore
Auckland,"Melbourne, Australia"
Auckland,Los Angeles
Auckland,Hawke's Bay
"Athens, Greece","Melbourne, Australia"
"Athens, Greece",Johannesburg
"Athens, Greece",Amsterdam
Amsterdam,Sofia
Amsterdam,Singapore
Amsterdam,Reykjavik
Amsterdam,"Manchester, England"
Amsterdam,Maastricht
Amsterdam,London
Amsterdam,Johannesburg
Amsterdam,Istanbul
Amsterdam,Hong Kong
Amsterdam,Frankfurt
Amsterdam,Dubai
Amsterdam,Dhaka
Amsterdam,"Athens, Greece"
Amsterdam,Abu Dhabi
Amsterdam, Newark
Alice Springs,Yulara
Alice Springs,"Melbourne, Australia"
Adelaide,"Melbourne, Australia"
Abu Dhabi,"Melbourne, Australia"
Abu Dhabi,Amsterdam
